Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
c,2,2,1830000,100,0.5,27450,1.91,13725,0.01,25270000000,"[20,20,54,20,29,24,20,20,24,24,36,24]",2025-01-26,"Knowledge panel, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Things to know",informational,Things to know
github,1,0,823000,100,2.34,10699,0.74,25035,0.01,576000000,"[54,54,54,54,81,54,36,36,54,54,54,54]",2025-01-26,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",navigational,People also ask
six sigma,1,1,40500,78,1.74,10044,0.69,17476,0.24,153000000,"[54,81,81,81,100,66,66,54,66,66,66,66]",2025-01-26,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
salesforce,1,1,550000,100,8.34,7150,0.49,59631,0.1,224000000,"[36,55,45,45,45,55,45,55,55,45,45,45]",2025-01-26,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Twitter carousel, Related searches",navigational,People also ask
simplilearn,1,1,8100,67,2.31,6480,0.45,14968,0.14,4270000,"[44,54,44,54,44,66,54,54,54,54,81,44]",2025-01-26,"Sitelinks, Reviews, Tweet, Video, People also ask, Related searches, See results about",navigational,Organic
pmp certification,1,1,90500,70,3.82,5973,0.41,22816,0.65,155000000,"[54,81,81,67,67,81,67,81,81,67,67,81]",2025-01-26,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",informational,People also ask
application software,1,1,22200,64,4.72,5505,0.38,25983,0.14,2910000000,"[1,4,3,13,4,2,2,1,100,4,6,3]",2025-01-26,"Knowledge panel, Reviews, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
coding languages,1,1,22200,84,1.2,5505,0.38,6606,0.05,411000000,"[4,6,100,4,4,4,4,3,4,4,6,4]",2025-01-27,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search","commercial, informational",Organic
javascript,1,1,135000,100,1.66,4387,0.3,7282,0.06,6010000000,"[54,81,54,54,44,67,36,44,54,54,54,44]",2025-01-26,"Image pack, Sitelinks, Video, People also ask, Related searches, People also search, AI overview",informational,People also ask
interpersonal skills,1,1,60500,72,0.07,3993,0.27,279,0.04,120000000,"[54,81,81,81,81,66,54,54,66,81,66,54]",2025-01-26,"Knowledge panel, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, Discussions and forums",informational,People also ask
